Date,Actual
31-01-2011,1918751
28-02-2011,1669288
31-03-2011,1952343
30-04-2011,1891350
31-05-2011,1892095
30-06-2011,2039035
31-07-2011,2406100
31-08-2011,2166937
30-09-2011,2094104
31-10-2011,2189014
30-11-2011,2225534
31-12-2011,2269773
31-01-2012,1817061
28-02-2012,1773471
31-03-2012,1972006
30-04-2012,1924129
31-05-2012,1951925
30-06-2012,2193886
31-07-2012,2306675
31-08-2012,2240687
30-09-2012,1973803
31-10-2012,2205979
30-11-2012,2236473
31-12-2012,2436613
31-01-2013,2070394
28-02-2013,2002709
31-03-2013,2376295
30-04-2013,1984982
31-05-2013,2044039
30-06-2013,2074312
31-07-2013,2129393
31-08-2013,1980960
30-09-2013,2093392
31-10-2013,2106569
30-11-2013,2045850
31-12-2013,2806565
31-01-2014,2447397
28-02-2014,2118540
31-03-2014,2525496
30-04-2014,2175009
31-05-2014,2266417
30-06-2014,2342187
31-07-2014,2229920
31-08-2014,2273271
30-09-2014,2233545
31-10-2014,2247666
30-11-2014,2130022
31-12-2014,2447845
31-01-2015,2291603
28-02-2015,1949016
31-03-2015,2242077
30-04-2015,2071922
31-05-2015,2118890
30-06-2015,1893792
31-07-2015,2216049
31-08-2015,2182536
30-09-2015,2084339
31-10-2015,2082866
30-11-2015,2004694
31-12-2015,2583467
31-01-2016,2376166
28-02-2016,2091098
31-03-2016,2198716
30-04-2016,2101280
31-05-2016,2144119
30-06-2016,2121396
31-07-2016,2296615
31-08-2016,2282173
30-09-2016,2118367
31-10-2016,2326487
30-11-2016,2054165
31-12-2016,2646810
31-01-2017,2350270
28-02-2017,2043215
31-03-2017,2238184
30-04-2017,2145734
31-05-2017,2039016
30-06-2017,2134647
31-07-2017,2263478
31-08-2017,2129013
30-09-2017,2092378
31-10-2017,2068995
30-11-2017,2007965
31-12-2017,2435564
31-01-2018,2276750
28-02-2018,2050613
31-03-2018,2192855
30-04-2018,1957248
31-05-2018,1976981
30-06-2018,2275921
31-07-2018,2305324
31-08-2018,2253534
30-09-2018,2096889
31-10-2018,2103975
30-11-2018,1989842
31-12-2018,2352422
31-01-2019,2195684
28-02-2019,2165933
31-03-2019,2334613
30-04-2019,2159517
31-05-2019,2098267
30-06-2019,2400561
31-07-2019,2415097
31-08-2019,2342438
30-09-2019,1997093
31-10-2019,2031198
30-11-2019,1969315
31-12-2019,1991068
31-01-2020,2164459
28-02-2020,1397912
31-03-2020,671084
30-04-2020,7546
31-05-2020,5411
30-06-2020,6585
31-07-2020,18660
31-08-2020,11631
30-09-2020,16131
31-10-2020,11315
30-11-2020,11420
31-12-2020,10568
31-01-2021,8012
28-02-2021,7599
31-03-2021,9645
30-04-2021,9742
31-05-2021,9156
30-06-2021,6459
31-07-2021,6203
31-08-2021,8062
30-09-2021,8431
31-10-2021,10684
30-11-2021,14722
31-12-2021,36013
31-01-2022,29797
28-02-2022,26760
31-03-2022,41496
30-04-2022,392059
31-05-2022,670474
30-06-2022,971574
31-07-2022,1076218
31-08-2022,1102625
30-09-2022,1245278
31-10-2022,1344091
30-11-2022,1330700
31-12-2022,1839892
31-01-2023,1496308
28-02-2023,1298261
31-03-2023,1593033
30-04-2023,1543063
31-05-2023,1550491
30-06-2023,1678913
31-07-2023,1821521
31-08-2023,1717273
30-09-2023,1768174
